Week Of,City,Neighborhood,Product,SKU,Channel,Sales (Units)
2015-07-06,Boston,Back Bay,FanCo. Classic,ORANGE - FanCo. Classic,Direct Sales,294
2015-06-29,Boston,Back Bay,FanCo. Classic,ORANGE - FanCo. Classic,Direct Sales,526
2015-06-22,Boston,Back Bay,FanCo. Classic,ORANGE - FanCo. Classic,Direct Sales,289
2015-06-15,Boston,Back Bay,FanCo. Classic,ORANGE - FanCo. Classic,Direct Sales,245
2015-06-08,Boston,Back Bay,FanCo. Classic,ORANGE - FanCo. Classic,Direct Sales,236
2015-06-01,Boston,Back Bay,FanCo. Classic,ORANGE - FanCo. Classic,Direct Sales,213
2016-05-23,Boston,Back Bay,FanCo. Classic,ORANGE - FanCo. Classic,Retail,327
2016-05-16,Boston,Back Bay,FanCo. Classic,ORANGE - FanCo. Classic,Retail,305
2016-05-09,Boston,Back Bay,FanCo. Classic,ORANGE - FanCo. Classic,Retail,299
2016-05-02,Boston,Back Bay,FanCo. Classic,ORANGE - FanCo. Classic,Retail,275
2016-04-25,Boston,Back Bay,FanCo. Classic,ORANGE - FanCo. Classic,Retail,267
2016-04-18,Boston,Back Bay,FanCo. Classic,ORANGE - FanCo. Classic,Retail,257
2016-04-11,Boston,Back Bay,FanCo. Classic,ORANGE - FanCo. Classic,Retail,250
2016-04-04,Boston,Back Bay,FanCo. Classic,ORANGE - FanCo. Classic,Retail,250
2016-03-28,Boston,Back Bay,FanCo. Classic,ORANGE - FanCo. Classic,Retail,245
2016-03-21,Boston,Back Bay,FanCo. Classic,ORANGE - FanCo. Classic,Retail,246
2016-03-14,Boston,Back Bay,FanCo. Classic,ORANGE - FanCo. Classic,Retail,240
2016-03-07,Boston,Back Bay,FanCo. Classic,ORANGE - FanCo. Classic,Retail,236
2016-02-29,Boston,Back Bay,FanCo. Classic,ORANGE - FanCo. Classic,Retail,227
2016-02-22,Boston,Back Bay,FanCo. Classic,ORANGE - FanCo. Classic,Retail,212
2016-02-15,Boston,Back Bay,FanCo. Classic,ORANGE - FanCo. Classic,Retail,193
2016-02-08,Boston,Back Bay,FanCo. Classic,ORANGE - FanCo. Classic,Retail,201
2016-02-01,Boston,Back Bay,FanCo. Classic,ORANGE - FanCo. Classic,Retail,194
2016-01-25,Boston,Back Bay,FanCo. Classic,ORANGE - FanCo. Classic,Retail,203
2016-01-18,Boston,Back Bay,FanCo. Classic,ORANGE - FanCo. Classic,Retail,202
2016-01-11,Boston,Back Bay,FanCo. Classic,ORANGE - FanCo. Classic,Retail,193
2016-01-04,Boston,Back Bay,FanCo. Classic,ORANGE - FanCo. Classic,Retail,202
2015-12-28,Boston,Back Bay,FanCo. Classic,ORANGE - FanCo. Classic,Retail,196
2015-12-21,Boston,Back Bay,FanCo. Classic,ORANGE - FanCo. Classic,Retail,194
2015-12-14,Boston,Back Bay,FanCo. Classic,ORANGE - FanCo. Classic,Retail,199
2015-12-07,Boston,Back Bay,FanCo. Classic,ORANGE - FanCo. Classic,Retail,200
2015-11-30,Boston,Back Bay,FanCo. Classic,ORANGE - FanCo. Classic,Retail,200
2015-11-23,Boston,Back Bay,FanCo. Classic,ORANGE - FanCo. Classic,Retail,202
2015-11-16,Boston,Back Bay,FanCo. Classic,ORANGE - FanCo. Classic,Retail,202
2015-11-09,Boston,Back Bay,FanCo. Classic,ORANGE - FanCo. Classic,Retail,197
2015-11-02,Boston,Back Bay,FanCo. Classic,ORANGE - FanCo. Classic,Retail,194
2015-10-26,Boston,Back Bay,FanCo. Classic,ORANGE - FanCo. Classic,Retail,206
2015-10-19,Boston,Back Bay,FanCo. Classic,ORANGE - FanCo. Classic,Retail,216
2015-10-12,Boston,Back Bay,FanCo. Classic,ORANGE - FanCo. Classic,Retail,222
2015-10-05,Boston,Back Bay,FanCo. Classic,ORANGE - FanCo. Classic,Retail,229
2015-09-28,Boston,Back Bay,FanCo. Classic,ORANGE - FanCo. Classic,Retail,248
2015-09-21,Boston,Back Bay,FanCo. Classic,ORANGE - FanCo. Classic,Retail,260
2015-09-14,Boston,Back Bay,FanCo. Classic,ORANGE - FanCo. Classic,Retail,274
2015-09-07,Boston,Back Bay,FanCo. Classic,ORANGE - FanCo. Classic,Retail,289
2015-08-31,Boston,Back Bay,FanCo. Classic,ORANGE - FanCo. Classic,Retail,290
2015-08-24,Boston,Back Bay,FanCo. Classic,ORANGE - FanCo. Classic,Retail,304
2015-08-17,Boston,Back Bay,FanCo. Classic,ORANGE - FanCo. Classic,Retail,323
2015-08-10,Boston,Back Bay,FanCo. Classic,ORANGE - FanCo. Classic,Retail,336
2015-08-03,Boston,Back Bay,FanCo. Classic,ORANGE - FanCo. Classic,Retail,367
2015-07-27,Boston,Back Bay,FanCo. Classic,ORANGE - FanCo. Classic,Retail,395
2015-07-20,Boston,Back Bay,FanCo. Classic,ORANGE - FanCo. Classic,Retail,394
2015-07-13,Boston,Back Bay,FanCo. Classic,ORANGE - FanCo. Classic,Retail,391
2015-07-06,Boston,Back Bay,FanCo. Classic,ORANGE - FanCo. Classic,Retail,390
2015-06-29,Boston,Back Bay,FanCo. Classic,ORANGE - FanCo. Classic,Retail,587
2015-06-22,Boston,Back Bay,FanCo. Classic,ORANGE - FanCo. Classic,Retail,367
2015-06-15,Boston,Back Bay,FanCo. Classic,ORANGE - FanCo. Classic,Retail,352
2015-06-08,Boston,Back Bay,FanCo. Classic,ORANGE - FanCo. Classic,Retail,334
2015-06-01,Boston,Back Bay,FanCo. Classic,ORANGE - FanCo. Classic,Retail,331
2016-05-23,Boston,Charlestown,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Direct Sales,104
2016-05-16,Boston,Charlestown,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Direct Sales,71
2016-05-09,Boston,Charlestown,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Direct Sales,58
2016-05-02,Boston,Charlestown,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Direct Sales,37
2016-04-25,Boston,Charlestown,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Direct Sales,0
2016-04-18,Boston,Charlestown,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Direct Sales,0
2016-04-11,Boston,Charlestown,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Direct Sales,0
2016-04-04,Boston,Charlestown,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Direct Sales,0
2016-03-28,Boston,Charlestown,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Direct Sales,0
2016-03-21,Boston,Charlestown,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Direct Sales,0
2016-03-14,Boston,Charlestown,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Direct Sales,0
2016-03-07,Boston,Charlestown,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Direct Sales,0
2016-02-29,Boston,Charlestown,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Direct Sales,0
2016-02-22,Boston,Charlestown,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Direct Sales,0
2016-02-15,Boston,Charlestown,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Direct Sales,0
2016-02-08,Boston,Charlestown,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Direct Sales,0
2016-02-01,Boston,Charlestown,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Direct Sales,0
2016-01-25,Boston,Charlestown,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Direct Sales,0
2016-01-18,Boston,Charlestown,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Direct Sales,0
2016-01-11,Boston,Charlestown,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Direct Sales,0
2016-01-04,Boston,Charlestown,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Direct Sales,0
2015-12-28,Boston,Charlestown,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Direct Sales,0
2015-12-21,Boston,Charlestown,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Direct Sales,0
2015-12-14,Boston,Charlestown,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Direct Sales,0
2015-12-07,Boston,Charlestown,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Direct Sales,0
2015-11-30,Boston,Charlestown,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Direct Sales,0
2015-11-23,Boston,Charlestown,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Direct Sales,0
2015-11-16,Boston,Charlestown,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Direct Sales,0
2015-11-09,Boston,Charlestown,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Direct Sales,0
2015-11-02,Boston,Charlestown,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Direct Sales,0
2015-10-26,Boston,Charlestown,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Direct Sales,0
2015-10-19,Boston,Charlestown,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Direct Sales,0
2015-10-12,Boston,Charlestown,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Direct Sales,0
2015-10-05,Boston,Charlestown,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Direct Sales,0
2015-09-28,Boston,Charlestown,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Direct Sales,0
2015-09-21,Boston,Charlestown,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Direct Sales,0
2015-09-14,Boston,Charlestown,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Direct Sales,40
2015-09-07,Boston,Charlestown,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Direct Sales,42
2015-08-31,Boston,Charlestown,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Direct Sales,107
2015-08-24,Boston,Charlestown,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Direct Sales,178
2015-08-17,Boston,Charlestown,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Direct Sales,199
2015-08-10,Boston,Charlestown,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Direct Sales,206
2015-08-03,Boston,Charlestown,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Direct Sales,209
2015-07-27,Boston,Charlestown,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Direct Sales,212
2015-07-20,Boston,Charlestown,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Direct Sales,172
2015-07-13,Boston,Charlestown,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Direct Sales,170
2015-07-06,Boston,Charlestown,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Direct Sales,171
2015-06-29,Boston,Charlestown,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Direct Sales,313
2015-06-22,Boston,Charlestown,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Direct Sales,177
2015-06-15,Boston,Charlestown,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Direct Sales,152
2015-06-08,Boston,Charlestown,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Direct Sales,137
2015-06-01,Boston,Charlestown,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Direct Sales,127
2016-05-23,Boston,Charlestown,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Retail,349
2016-05-16,Boston,Charlestown,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Retail,330
2016-05-09,Boston,Charlestown,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Retail,329
2016-05-02,Boston,Charlestown,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Retail,290
2016-04-25,Boston,Charlestown,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Retail,288
2016-04-18,Boston,Charlestown,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Retail,281
2016-04-11,Boston,Charlestown,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Retail,267
2016-04-04,Boston,Charlestown,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Retail,264
2016-03-28,Boston,Charlestown,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Retail,267
2016-03-21,Boston,Charlestown,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Retail,257
2016-03-14,Boston,Charlestown,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Retail,256
2016-03-07,Boston,Charlestown,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Retail,261
2016-02-29,Boston,Charlestown,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Retail,248
2016-02-22,Boston,Charlestown,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Retail,221
2016-02-15,Boston,Charlestown,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Retail,212
2016-02-08,Boston,Charlestown,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Retail,212
2016-02-01,Boston,Charlestown,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Retail,216
2016-01-25,Boston,Charlestown,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Retail,214
2016-01-18,Boston,Charlestown,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Retail,208
2016-01-11,Boston,Charlestown,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Retail,214
2016-01-04,Boston,Charlestown,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Retail,215
2015-12-28,Boston,Charlestown,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Retail,213
2015-12-21,Boston,Charlestown,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Retail,211
2015-12-14,Boston,Charlestown,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Retail,210
2015-12-07,Boston,Charlestown,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Retail,216
2015-11-30,Boston,Charlestown,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Retail,217
2015-11-23,Boston,Charlestown,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Retail,215
2015-11-16,Boston,Charlestown,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Retail,210
2015-11-09,Boston,Charlestown,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Retail,217
2015-11-02,Boston,Charlestown,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Retail,214
2015-10-26,Boston,Charlestown,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Retail,220
2015-10-19,Boston,Charlestown,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Retail,230
2015-10-12,Boston,Charlestown,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Retail,247
2015-10-05,Boston,Charlestown,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Retail,248
2015-09-28,Boston,Charlestown,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Retail,264
2015-09-21,Boston,Charlestown,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Retail,282
2015-09-14,Boston,Charlestown,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Retail,295
2015-09-07,Boston,Charlestown,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Retail,305
2015-08-31,Boston,Charlestown,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Retail,318
2015-08-24,Boston,Charlestown,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Retail,324
2015-08-17,Boston,Charlestown,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Retail,349
2015-08-10,Boston,Charlestown,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Retail,359
2015-08-03,Boston,Charlestown,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Retail,394
2015-07-27,Boston,Charlestown,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Retail,417
2015-07-20,Boston,Charlestown,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Retail,424
2015-07-13,Boston,Charlestown,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Retail,418
2015-07-06,Boston,Charlestown,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Retail,419
2015-06-29,Boston,Charlestown,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Retail,629
2015-06-22,Boston,Charlestown,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Retail,395
2015-06-15,Boston,Charlestown,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Retail,377
2015-06-08,Boston,Charlestown,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Retail,364
2015-06-01,Boston,Charlestown,FanCo. Classic,RED - SPECIAL EDITION - FanCo. Classic,Retail,361
2016-05-23,Boston,Charlestown,FanCo. Classic,GREEN - FanCo. Classic,Direct Sales,261
2016-05-16,Boston,Charlestown,FanCo. Classic,GREEN - FanCo. Classic,Direct Sales,184
2016-05-09,Boston,Charlestown,FanCo. Classic,GREEN - FanCo. Classic,Direct Sales,131
2016-05-02,Boston,Charlestown,FanCo. Classic,GREEN - FanCo. Classic,Direct Sales,98
2016-04-25,Boston,Charlestown,FanCo. Classic,GREEN - FanCo. Classic,Direct Sales,0
2016-04-18,Boston,Charlestown,FanCo. Classic,GREEN - FanCo. Classic,Direct Sales,0
2016-04-11,Boston,Charlestown,FanCo. Classic,GREEN - FanCo. Classic,Direct Sales,0
2016-04-04,Boston,Charlestown,FanCo. Classic,GREEN - FanCo. Classic,Direct Sales,0
2016-03-28,Boston,Charlestown,FanCo. Classic,GREEN - FanCo. Classic,Direct Sales,0
2016-03-21,Boston,Charlestown,FanCo. Classic,GREEN - FanCo. Classic,Direct Sales,0
2016-03-14,Boston,Charlestown,FanCo. Classic,GREEN - FanCo. Classic,Direct Sales,0
2016-03-07,Boston,Charlestown,FanCo. Classic,GREEN - FanCo. Classic,Direct Sales,0
2016-02-29,Boston,Charlestown,FanCo. Classic,GREEN - FanCo. Classic,Direct Sales,0
2016-02-22,Boston,Charlestown,FanCo. Classic,GREEN - FanCo. Classic,Direct Sales,0
2016-02-15,Boston,Charlestown,FanCo. Classic,GREEN - FanCo. Classic,Direct Sales,0
2016-02-08,Boston,Charlestown,FanCo. Classic,GREEN - FanCo. Classic,Direct Sales,0
2016-02-01,Boston,Charlestown,FanCo. Classic,GREEN - FanCo. Classic,Direct Sales,0
2016-01-25,Boston,Charlestown,FanCo. Classic,GREEN - FanCo. Classic,Direct Sales,0
2016-01-18,Boston,Charlestown,FanCo. Classic,GREEN - FanCo. Classic,Direct Sales,0
2016-01-11,Boston,Charlestown,FanCo. Classic,GREEN - FanCo. Classic,Direct Sales,0
2016-01-04,Boston,Charlestown,FanCo. Classic,GREEN - FanCo. Classic,Direct Sales,0
2015-12-28,Boston,Charlestown,FanCo. Classic,GREEN - FanCo. Classic,Direct Sales,0
2015-12-21,Boston,Charlestown,FanCo. Classic,GREEN - FanCo. Classic,Direct Sales,0
2015-12-14,Boston,Charlestown,FanCo. Classic,GREEN - FanCo. Classic,Direct Sales,0
2015-12-07,Boston,Charlestown,FanCo. Classic,GREEN - FanCo. Classic,Direct Sales,0
2015-11-30,Boston,Charlestown,FanCo. Classic,GREEN - FanCo. Classic,Direct Sales,0
2015-11-23,Boston,Charlestown,FanCo. Classic,GREEN - FanCo. Classic,Direct Sales,0
2015-11-16,Boston,Charlestown,FanCo. Classic,GREEN - FanCo. Classic,Direct Sales,0
2015-11-09,Boston,Charlestown,FanCo. Classic,GREEN - FanCo. Classic,Direct Sales,0
2015-11-02,Boston,Charlestown,FanCo. Classic,GREEN - FanCo. Classic,Direct Sales,0
2015-10-26,Boston,Charlestown,FanCo. Classic,GREEN - FanCo. Classic,Direct Sales,0
2015-10-19,Boston,Charlestown,FanCo. Classic,GREEN - FanCo. Classic,Direct Sales,0
2015-10-12,Boston,Charlestown,FanCo. Classic,GREEN - FanCo. Classic,Direct Sales,0
2015-10-05,Boston,Charlestown,FanCo. Classic,GREEN - FanCo. Classic,Direct Sales,0
2015-09-28,Boston,Charlestown,FanCo. Classic,GREEN - FanCo. Classic,Direct Sales,0
2015-09-21,Boston,Charlestown,FanCo. Classic,GREEN - FanCo. Classic,Direct Sales,0
2015-09-14,Boston,Charlestown,FanCo. Classic,GREEN - FanCo. Classic,Direct Sales,97
2015-09-07,Boston,Charlestown,FanCo. Classic,GREEN - FanCo. Classic,Direct Sales,115
2015-08-31,Boston,Charlestown,FanCo. Classic,GREEN - FanCo. Classic,Direct Sales,283
2015-08-24,Boston,Charlestown,FanCo. Classic,GREEN - FanCo. Classic,Direct Sales,458
2015-08-17,Boston,Charlestown,FanCo. Classic,GREEN - FanCo. Classic,Direct Sales,517
2015-08-10,Boston,Charlestown,FanCo. Classic,GREEN - FanCo. Classic,Direct Sales,555
2015-08-03,Boston,Charlestown,FanCo. Classic,GREEN - FanCo. Classic,Direct Sales,546
2015-07-27,Boston,Charlestown,FanCo. Classic,GREEN - FanCo. Classic,Direct Sales,548
2015-07-20,Boston,Charlestown,FanCo. Classic,GREEN - FanCo. Classic,Direct Sales,456
2015-07-13,Boston,Charlestown,FanCo. Classic,GREEN - FanCo. Classic,Direct Sales,439
2015-07-06,Boston,Charlestown,FanCo. Classic,GREEN - FanCo. Classic,Direct Sales,457
2015-06-29,Boston,Charlestown,FanCo. Classic,GREEN - FanCo. Classic,Direct Sales,826
2015-06-22,Boston,Charlestown,FanCo. Classic,GREEN - FanCo. Classic,Direct Sales,462
2015-06-15,Boston,Charlestown,FanCo. Classic,GREEN - FanCo. Classic,Direct Sales,383
2015-06-08,Boston,Charlestown,FanCo. Classic,GREEN - FanCo. Classic,Direct Sales,372
2015-06-01,Boston,Charlestown,FanCo. Classic,GREEN - FanCo. Classic,Direct Sales,331
2016-05-23,Boston,Charlestown,FanCo. Classic,GREEN - FanCo. Classic,Retail,263
2016-05-16,Boston,Charlestown,FanCo. Classic,GREEN - FanCo. Classic,Retail,250
2016-05-09,Boston,Charlestown,FanCo. Classic,GREEN - FanCo. Classic,Retail,246
2016-05-02,Boston,Charlestown,FanCo. Classic,GREEN - FanCo. Classic,Retail,215
2016-04-25,Boston,Charlestown,FanCo. Classic,GREEN - FanCo. Classic,Retail,219
2016-04-18,Boston,Charlestown,FanCo. Classic,GREEN - FanCo. Classic,Retail,213
2016-04-11,Boston,Charlestown,FanCo. Classic,GREEN - FanCo. Classic,Retail,210
2016-04-04,Boston,Charlestown,FanCo. Classic,GREEN - FanCo. Classic,Retail,196
2016-03-28,Boston,Charlestown,FanCo. Classic,GREEN - FanCo. Classic,Retail,196
2016-03-21,Boston,Charlestown,FanCo. Classic,GREEN - FanCo. Classic,Retail,197
2016-03-14,Boston,Charlestown,FanCo. Classic,GREEN - FanCo. Classic,Retail,192
2016-03-07,Boston,Charlestown,FanCo. Classic,GREEN - FanCo. Classic,Retail,195
2016-02-29,Boston,Charlestown,FanCo. Classic,GREEN - FanCo. Classic,Retail,187
2016-02-22,Boston,Charlestown,FanCo. Classic,GREEN - FanCo. Classic,Retail,169
2016-02-15,Boston,Charlestown,FanCo. Classic,GREEN - FanCo. Classic,Retail,165
2016-02-08,Boston,Charlestown,FanCo. Classic,GREEN - FanCo. Classic,Retail,162
2016-02-01,Boston,Charlestown,FanCo. Classic,GREEN - FanCo. Classic,Retail,164
2016-01-25,Boston,Charlestown,FanCo. Classic,GREEN - FanCo. Classic,Retail,163
2016-01-18,Boston,Charlestown,FanCo. Classic,GREEN - FanCo. Classic,Retail,161
2016-01-11,Boston,Charlestown,FanCo. Classic,GREEN - FanCo. Classic,Retail,157
2016-01-04,Boston,Charlestown,FanCo. Classic,GREEN - FanCo. Classic,Retail,163
2015-12-28,Boston,Charlestown,FanCo. Classic,GREEN - FanCo. Classic,Retail,163
2015-12-21,Boston,Charlestown,FanCo. Classic,GREEN - FanCo. Classic,Retail,166
2015-12-14,Boston,Charlestown,FanCo. Classic,GREEN - FanCo. Classic,Retail,161
2015-12-07,Boston,Charlestown,FanCo. Classic,GREEN - FanCo. Classic,Retail,164
2015-11-30,Boston,Charlestown,FanCo. Classic,GREEN - FanCo. Classic,Retail,158
2015-11-23,Boston,Charlestown,FanCo. Classic,GREEN - FanCo. Classic,Retail,163
2015-11-16,Boston,Charlestown,FanCo. Classic,GREEN - FanCo. Classic,Retail,163
2015-11-09,Boston,Charlestown,FanCo. Classic,GREEN - FanCo. Classic,Retail,161
2015-11-02,Boston,Charlestown,FanCo. Classic,GREEN - FanCo. Classic,Retail,166
2015-10-26,Boston,Charlestown,FanCo. Classic,GREEN - FanCo. Classic,Retail,165
2015-10-19,Boston,Charlestown,FanCo. Classic,GREEN - FanCo. Classic,Retail,179
2015-10-12,Boston,Charlestown,FanCo. Classic,GREEN - FanCo. Classic,Retail,180
2015-10-05,Boston,Charlestown,FanCo. Classic,GREEN - FanCo. Classic,Retail,186
2015-09-28,Boston,Charlestown,FanCo. Classic,GREEN - FanCo. Classic,Retail,197
2015-09-21,Boston,Charlestown,FanCo. Classic,GREEN - FanCo. Classic,Retail,216
2015-09-14,Boston,Charlestown,FanCo. Classic,GREEN - FanCo. Classic,Retail,225
2015-09-07,Boston,Charlestown,FanCo. Classic,GREEN - FanCo. Classic,Retail,229
2015-08-31,Boston,Charlestown,FanCo. Classic,GREEN - FanCo. Classic,Retail,232
2015-08-24,Boston,Charlestown,FanCo. Classic,GREEN - FanCo. Classic,Retail,248
2015-08-17,Boston,Charlestown,FanCo. Classic,GREEN - FanCo. Classic,Retail,267
2015-08-10,Boston,Charlestown,FanCo. Classic,GREEN - FanCo. Classic,Retail,268
2015-08-03,Boston,Charlestown,FanCo. Classic,GREEN - FanCo. Classic,Retail,292
2015-07-27,Boston,Charlestown,FanCo. Classic,GREEN - FanCo. Classic,Retail,321
2015-07-20,Boston,Charlestown,FanCo. Classic,GREEN - FanCo. Classic,Retail,322
2015-07-13,Boston,Charlestown,FanCo. Classic,GREEN - FanCo. Classic,Retail,318
2015-07-06,Boston,Charlestown,FanCo. Classic,GREEN - FanCo. Classic,Retail,319
2015-06-29,Boston,Charlestown,FanCo. Classic,GREEN - FanCo. Classic,Retail,474
2015-06-22,Boston,Charlestown,FanCo. Classic,GREEN - FanCo. Classic,Retail,296
2015-06-15,Boston,Charlestown,FanCo. Classic,GREEN - FanCo. Classic,Retail,280
2015-06-08,Boston,Charlestown,FanCo. Classic,GREEN - FanCo. Classic,Retail,276
2015-06-01,Boston,Charlestown,FanCo. Classic,GREEN - FanCo. Classic,Retail,266
2016-05-23,Boston,Charlestown,FanCo. Classic,ORANGE - FanCo. Classic,Direct Sales,169
2016-05-16,Boston,Charlestown,FanCo. Classic,ORANGE - FanCo. Classic,Direct Sales,125
2016-05-09,Boston,Charlestown,FanCo. Classic,ORANGE - FanCo. Classic,Direct Sales,86
2016-05-02,Boston,Charlestown,FanCo. Classic,ORANGE - FanCo. Classic,Direct Sales,61
2016-04-25,Boston,Charlestown,FanCo. Classic,ORANGE - FanCo. Classic,Direct Sales,0
2016-04-18,Boston,Charlestown,FanCo. Classic,ORANGE - FanCo. Classic,Direct Sales,0
2016-04-11,Boston,Charlestown,FanCo. Classic,ORANGE - FanCo. Classic,Direct Sales,0
2016-04-04,Boston,Charlestown,FanCo. Classic,ORANGE - FanCo. Classic,Direct Sales,0
